task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_solved,max_score,avg_score,sum_score,all_scores
2026-01-06_07-39-24_#1-0: task_1,42769,345,43114,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_07-39-24_#2-0: task_1,126257,729,126986,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_07-39-24_#3-0: task_6,148429,753,149182,6,2,True,1.0,0.333333,2.0,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
2026-01-06_07-39-24_#4-0: task_3,177067,783,177850,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_07-39-24_#5-0: task_2,159879,750,160629,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_07-39-24_#6-0: task_6,160225,592,160817,6,0,False,0.25,0.125,0.75,"[0.25, 0.25, 0.25, 0.0, 0.0, 0.0]"
2026-01-06_07-39-24_#7-0: task_6,215365,699,216064,6,0,False,0.25,0.125,0.75,"[0.25, 0.25, 0.0, 0.0, 0.25, 0.0]"
2026-01-06_07-39-24_#8-0: task_5,53997,502,54499,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_07-39-24_#9-0: task_4,80693,449,81142,3,0,False,0.25,0.083333,0.25,"[0.25, 0.0, 0.0]"
2026-01-06_07-39-24_#10-0: task_1,65041,418,65459,3,0,False,0.5,0.166667,0.5,"[0.0, 0.0, 0.5]"
2026-01-06_07-39-24_#11-0: task_1,72518,564,73082,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_07-39-24_#12-0: task_2,50412,411,50823,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_07-39-24_#13-0: task_5,185634,751,186385,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_07-39-24_#14-0: task_5,100725,490,101215,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_07-39-24_#15-0: task_1,99986,484,100470,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_07-39-24_#16-0: task_5,153675,723,154398,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
