task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-05_07-45-04_#1-0: task_1,12973,10488,23461,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-05_07-45-04_#2-0: task_1,34419,21693,56112,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#3-0: task_6,32540,26211,58751,6,3,True,False,1.0,0.5,3.0,1.0,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#4-0: task_3,27897,20088,47985,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#5-0: task_2,32617,32321,64938,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#6-0: task_6,32634,23933,56567,6,0,False,True,0.25,0.125,0.75,0.75,"[0.25, 0.0, 0.25, 0.0, 0.25, 0.0]"
2026-01-05_07-45-04_#7-0: task_6,32790,23740,56530,6,0,False,True,0.25,0.125,0.75,0.75,"[0.25, 0.0, 0.25, 0.0, 0.25, 0.0]"
2026-01-05_07-45-04_#8-0: task_5,16965,9491,26456,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#9-0: task_4,17461,12295,29756,3,0,False,True,0.25,0.083333,0.25,0.25,"[0.0, 0.25, 0.0]"
2026-01-05_07-45-04_#10-0: task_1,16861,10094,26955,3,0,False,True,0.5,0.166667,0.5,0.5,"[0.0, 0.5, 0.0]"
2026-01-05_07-45-04_#11-0: task_1,17289,7829,25118,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#12-0: task_2,16032,14257,30289,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#13-0: task_5,32449,22104,54553,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#14-0: task_5,19419,9931,29350,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#15-0: task_1,17352,11787,29139,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#16-0: task_5,29441,19975,49416,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#17-0: task_2,28191,24104,52295,5,0,False,True,0.5,0.2,1.0,1.0,"[0.5, 0.5, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#18-0: task_6,28625,29160,57785,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#19-0: task_6,22752,14375,37127,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#20-0: task_6,19093,10656,29749,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#21-0: task_5,27216,11581,38797,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#22-0: task_4,17529,6553,24082,3,0,False,True,0.25,0.166667,0.5,0.5,"[0.25, 0.25, 0.0]"
2026-01-05_07-45-04_#23-0: task_5,11951,2191,14142,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-05_07-45-04_#24-0: task_3,7398,4472,11870,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-05_07-45-04_#25-0: task_7,18050,16899,34949,3,0,False,True,0.33,0.11,0.33,0.33,"[0.33, 0.0, 0.0]"
2026-01-05_07-45-04_#26-0: task_7,5009,2886,7895,0,0,False,False,0.0,0.0,0,0,[]
2026-01-05_07-45-04_#27-0: task_7,23225,19552,42777,4,0,False,True,0.17,0.0425,0.17,0.17,"[0.0, 0.17, 0.0, 0.0]"
2026-01-05_07-45-04_#28-0: task_2,22842,20673,43515,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#29-0: task_6,27981,18604,46585,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#30-0: task_3,17804,11622,29426,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#31-0: task_2,17205,14804,32009,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#32-0: task_2,16475,11411,27886,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#33-0: task_7,16998,13232,30230,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#34-0: task_1,17317,14478,31795,3,0,False,True,0.5,0.166667,0.5,0.5,"[0.0, 0.0, 0.5]"
2026-01-05_07-45-04_#35-0: task_4,16748,10576,27324,3,0,False,True,0.25,0.083333,0.25,0.25,"[0.0, 0.0, 0.25]"
2026-01-05_07-45-04_#36-0: task_5,6486,3448,9934,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-05_07-45-04_#37-0: task_3,22345,15933,38278,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-05_07-45-04_#38-0: task_7,22147,12870,35017,4,0,False,True,0.33,0.0825,0.33,0.33,"[0.0, 0.0, 0.33, 0.0]"
2026-01-05_07-45-04_#39-0: task_4,22958,16254,39212,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
